country_code,year,ln_underval
CMR,1992,-0.6033095293884186
CMR,1993,-0.6318834594208
CMR,1994,-0.0562559498767119
CMR,1995,-0.1972716963755201
CMR,1996,-0.19435518544752783
CMR,1997,-0.08647323259929451
CMR,1998,-0.13284025228233376
CMR,1999,-0.1146984350074578
CMR,2000,0.0351831502656299
CMR,2001,0.020309197025154768
CMR,2002,-0.09190510282582887
CMR,2003,-0.2931242998273649
CMR,2004,-0.39357368197631915
CMR,2005,-0.3653130674869265
CMR,2006,-0.4019649549284323
CMR,2007,-0.5013030214579203
CMR,2008,-0.6070534840319004
CMR,2009,-0.5874805227775288
CMR,2010,-0.5340581017949207
CMR,2011,-0.5941117422543287
CMR,2012,-0.5224498420258921
CMR,2013,-0.5896087493654916
CMR,2014,-0.6010297394916844
CMR,2015,-0.4256524605574832
CMR,2016,-0.41910135784723535
CMR,2017,-0.44441197885356254
CMR,2018,-0.4510168321563581
CMR,2019,-0.35870622484516
CMR,2020,-0.3586153748123879
CMR,2021,-0.38001175865861225
CMR,2022,-0.3196083996158141
CMR,2023,-0.4052453371420761
COD,1950,1.2061518346613362
COD,1951,1.1041208636920767
COD,1952,1.0455525742573353
COD,1953,1.1414076377822275
COD,1954,1.12427989442057
COD,1955,1.1237002700295573
COD,1956,1.0947529389662503
COD,1957,1.0741801774402246
COD,1958,1.0890778682919198
COD,1959,1.0809754881811595
COD,1960,1.1344906920494437
COD,1961,1.0432372052021477
COD,1962,1.1243363263630386
COD,1963,1.1091617864556111
COD,1964,0.9772242772146031
COD,1965,1.1249509409253007
COD,1966,1.1300038146459912
COD,1967,1.0117541043260119
COD,1968,0.9951193202137165
COD,1969,0.9953071381106562
COD,1970,1.052830209012858
COD,1971,0.9264580335402948
COD,1972,1.160980853580527
COD,1973,1.1435247893520177
COD,1974,1.099586820034461
COD,1975,0.8066478509622876
COD,1976,0.6841159494072515
COD,1977,0.6598336550968196
COD,1978,0.6254672678474551
COD,1979,0.696744961897001
COD,1980,0.6271025815781219
COD,1981,0.4633232200285826
COD,1982,0.43064268642804304
COD,1983,0.40013985927591844
COD,1984,0.4800407276245795
COD,1985,0.38322126272103274
COD,1986,0.23641437865606285
COD,1987,0.15627776534936366
COD,1988,0.1974976526857246
COD,1989,0.12323809838552258
COD,1990,-0.04188871852493148
COD,1991,-0.2608648137655485
COD,1992,0.13398658668450114
COD,1993,-0.039994236745860556
COD,1994,-0.3867900248241418
COD,1995,-0.3763664994169327
COD,1996,-0.5378125026603706
COD,1997,-0.5379223590079918
COD,1998,-0.7060323649355817
COD,1999,-0.5476893252253641
COD,2000,-0.6230110965501521
COD,2001,-0.6305761904551357
COD,2002,-0.6357111729720692
COD,2003,-0.568322265333705
COD,2004,-0.6011128741728036
COD,2005,-0.647593931570545
COD,2006,-0.743646616921162
COD,2007,-0.8139770203459991
COD,2008,-0.9958889096281321
COD,2009,-0.9083310783825511
COD,2010,-0.9202323233304247
COD,2011,-1.009651681819233
COD,2012,-1.0683817172433245
COD,2013,-1.0755150064968388
COD,2014,-1.0470009639371782
COD,2015,-0.9865328057009098
COD,2016,-0.8844112976094255
COD,2017,-0.8485303542374927
COD,2018,-0.9840587059596847
COD,2019,-0.97899687869257
COD,2020,-0.9223970618311126
COD,2021,-1.0275446598899074
COD,2022,-1.1401618716463344
COD,2023,-1.1592587418684193
COG,1960,0.4458037909472392
COG,1961,0.23910694143077627
COG,1962,0.5895210778121043
COG,1963,0.7287340757072114
COG,1964,0.7413515104475765
